Photo,NoiseLevel,FilterSize,MSE,PSNR,SSIM
photo1,0.01,3,29.5121,33.4308,0.994591
photo1,0.01,5,66.7383,29.8871,0.987687
photo1,0.01,7,130.005,26.9912,0.975954
photo1,0.05,3,40.8532,32.0185,0.992521
photo1,0.05,5,80.8855,29.0521,0.985091
photo1,0.05,7,149.861,26.3739,0.972357
photo1,0.1,3,57.6972,30.5193,0.989452
photo1,0.1,5,99.554,28.1502,0.981699
photo1,0.1,7,174.788,25.7057,0.967852
photo2,0.01,3,-1,-1,-1
photo2,0.01,5,-1,-1,-1
photo2,0.01,7,-1,-1,-1
photo2,0.05,3,-1,-1,-1
photo2,0.05,5,-1,-1,-1
photo2,0.05,7,-1,-1,-1
photo2,0.1,3,-1,-1,-1
photo2,0.1,5,-1,-1,-1
photo2,0.1,7,-1,-1,-1
photo3,0.01,3,6.39069,40.0753,0.998261
photo3,0.01,5,18.9791,35.3481,0.99482
photo3,0.01,7,30.9977,33.2175,0.991477
photo3,0.05,3,15.5802,36.2051,0.995768
photo3,0.05,5,31.3165,33.1731,0.991472
photo3,0.05,7,46.3551,31.4698,0.987296
photo3,0.1,3,28.5249,33.5786,0.99226
photo3,0.1,5,48.762,31.25,0.986756
photo3,0.1,7,73.5798,29.4632,0.979957
photo4,0.01,3,48.1332,31.3064,0.983702
photo4,0.01,5,114.988,27.5243,0.959856
photo4,0.01,7,181.595,25.5398,0.934581
photo4,0.05,3,58.0847,30.4902,0.980364
photo4,0.05,5,127.413,27.0787,0.955634
photo4,0.05,7,195.414,25.2213,0.929812
photo4,0.1,3,72.7902,29.5101,0.975459
photo4,0.1,5,142.256,26.6001,0.950564
photo4,0.1,7,214.887,24.8087,0.923146
photo5,0.01,3,4.14147,41.9593,0.999587
photo5,0.01,5,11.3401,37.5846,0.998869
photo5,0.01,7,22.8276,34.5462,0.997721
photo5,0.05,3,15.7085,36.1695,0.998434
photo5,0.05,5,25.0609,34.1408,0.997501
photo5,0.05,7,43.8407,31.712,0.995627
photo5,0.1,3,29.6669,33.4081,0.997043
photo5,0.1,5,48.0174,31.3168,0.995214
photo5,0.1,7,71.3096,29.5993,0.992894
photo6,0.01,3,46.3125,31.4738,0.996358
photo6,0.01,5,92.5964,28.4649,0.992731
photo6,0.01,7,124.396,27.1828,0.990247
photo6,0.05,3,52.0415,30.9673,0.995907
photo6,0.05,5,102.233,28.0349,0.991975
photo6,0.05,7,136.146,26.7908,0.989328
photo6,0.1,3,67.5271,29.836,0.994691
photo6,0.1,5,114.52,27.542,0.991013
photo6,0.1,7,156.425,26.1878,0.987744
